Date,Nights,Rooms,AgentCost,RoomNights
2021-03-26,2336,955,373193.36,2230880
2021-06-26,1212,533,257408.1,645996
2021-02-12,2989,1230,381063.3,3676470
2021-03-24,925,316,149469.83,292300
2021-08-22,1505,520,293353.32,782600
2021-01-05,104,65,14490.6,6760
2021-12-27,2990,933,952185.83,2789670
2023-07-12,2,1,1011.6,2
2021-11-17,1537,559,279199.72,859183
2022-12-30,38,10,11865.44,380
2021-10-29,2585,1178,530717.69,3045130
2022-01-26,862,229,159975.51,197398
2022-08-12,638,258,255678.36,164604
2021-01-01,118,76,11404.17,8968
2023-02-11,15,5,3566.1,75
2021-07-06,952,361,211609.56,343672
2021-09-20,1555,544,310159.89,845920
2022-11-21,121,33,28395.13,3993
2021-01-11,206,105,21865.14,21630
2022-10-30,130,38,31070.52,4940
2023-01-28,31,8,9243.11,248
2022-08-04,816,344,220136.3,280704
2021-12-15,1682,515,431614.88,866230
2023-03-04,3,1,665.04,3
2021-08-16,1587,578,334550.71,917286
